Reef ID,ReefName,X_COORD,Y_COORD,Area_HA,Zone,MgmtArea,MgmtAreaCode,MgmtAreaShort
19-028,Shell Reef (19-028),148.182,-19.059,358.481,Habitat Protection,Central Management Area,3,Central
19-029,Mid Reef (19-029),148.077,-19.071,562.552,Habitat Protection,Central Management Area,3,Central
19-044,Faith Reef (19-044),148.35,-19.279,441.637,Habitat Protection,Central Management Area,3,Central
19-127,Block Reef (19-127),149.373,-19.699,15552.794,Habitat Protection,Central Management Area,3,Central
19-131a,U/N Reef (19-131a),149.368,-19.761,409.833,Habitat Protection,Central Management Area,3,Central
19-134,Circular Quay Reef (19-134),149.486,-19.744,13493.38,Habitat Protection,Central Management Area,3,Central
21-057,U/N Reef (21-057),150.482,-21.123,4670.077,Habitat Protection,Southern Management Area,4,Southern
21-181,U/N Reef (21-181),151.858,-21.371,745.841,Habitat Protection,Southern Management Area,4,Southern
21-186,U/N Reef (21-186),151.793,-21.411,1360.202,Habitat Protection,Southern Management Area,4,Southern
21-187,U/N Reef (21-187),151.648,-21.419,1711.986,Habitat Protection,Southern Management Area,4,Southern
21-188,U/N Reef (21-188),151.586,-21.444,1323.902,Habitat Protection,Southern Management Area,4,Southern
21-438,U/N Reef (21-438),151.812,-21.516,506.727,Habitat Protection,Southern Management Area,4,Southern
21-441,U/N Reef (21-441),151.775,-21.527,817.891,Habitat Protection,Southern Management Area,4,Southern
21-465,U/N Reef (21-465),151.882,-21.804,3241.611,Habitat Protection,Southern Management Area,4,Southern
21-466,U/N Reef (21-466),151.987,-21.838,2401.009,Habitat Protection,Southern Management Area,4,Southern
21-500,U/N Reef (21-500),152.394,-21.674,907.519,Habitat Protection,Southern Management Area,4,Southern
21-505,Isobel Bennett Reef (21-505),152.349,-21.707,1802.663,Habitat Protection,Southern Management Area,4,Southern
21-548,Poulson Reef (21-548),152.459,-21.936,312.546,Habitat Protection,Southern Management Area,4,Southern
21-549,Pike Reef (21-549),152.423,-21.948,1491.881,Habitat Protection,Southern Management Area,4,Southern
21-554,U/N Reef (21-554),152.375,-21.98,1015.583,Habitat Protection,Southern Management Area,4,Southern
22-088a,U/N Reef (22-088a),152.158,-22.026,1658.589,Habitat Protection,Southern Management Area,4,Southern
23-077,Fitzroy Reef (23-077),152.147,-23.633,3668.436,Habitat Protection,Southern Management Area,4,Southern
10-371,U/N Reef (10-371),143.242,-10.947,146.599,Habitat Protection,Far Northern Management Area,1,Far Northern
10-414,U/N Reef (10-414),144.018,-10.927,1369.089,Habitat Protection,Far Northern Management Area,1,Far Northern
10-327,South Ledge (10-327),142.732,-10.705,3729.116,Habitat Protection,Far Northern Management Area,1,Far Northern
14-132b,U/N Reef (14-132b),145.528,-14.866,675.38,Habitat Protection,Northern Management Area,2,Northern
14-133,U/N Reef (14-133),145.516,-14.917,558.124,Habitat Protection,Northern Management Area,2,Northern
14-135,Helsdon Reef (14-135),145.488,-14.939,1256.178,Habitat Protection,Northern Management Area,2,Northern
14-144,Kedge Reef (14-144),145.531,-14.783,636.492,Habitat Protection,Northern Management Area,2,Northern
15-019,Long Reef (15-019),145.57,-15.051,1116.679,Habitat Protection,Northern Management Area,2,Northern
15-028,Startle Reefs (15-028),145.556,-15.207,2122.06,Habitat Protection,Northern Management Area,2,Northern
15-030,Swinger Reef (15-030),145.537,-15.242,526.876,Habitat Protection,Northern Management Area,2,Northern
15-070,Vicki Harriott Reef (15-070),145.618,-15.503,1230.097,Habitat Protection,Northern Management Area,2,Northern
15-078,Osterlund Reef (15-078),145.532,-15.556,5714.283,Habitat Protection,Northern Management Area,2,Northern
15-081,Rosser Reef (15-081),145.515,-15.607,959.924,Habitat Protection,Northern Management Area,2,Northern
15-082,Emily Reef (15-082),145.626,-15.606,3530.024,Habitat Protection,Northern Management Area,2,Northern
15-084,Irene Reef (15-084),145.715,-15.648,1201.325,Habitat Protection,Northern Management Area,2,Northern
15-086,Cairns Reef (15-086),145.509,-15.672,9000.261,Habitat Protection,Northern Management Area,2,Northern
15-095,Evening Reef (15-095),145.657,-15.905,910.35,Habitat Protection,Northern Management Area,2,Northern
15-098,Morning Reef (15-098),145.665,-15.976,1400.088,Habitat Protection,Northern Management Area,2,Northern
16-023,Rudder Reef (16-023),145.693,-16.192,4887.867,Habitat Protection,Northern Management Area,2,Northern
16-026,Tongue Reef (16-026),145.793,-16.321,26007.875,Habitat Protection,Northern Management Area,2,Northern
17-018b,Arthur Patches (17-018b),146.339,-17.388,419.495,Habitat Protection,Northern Management Area,2,Northern
17-059a,Potter Reef (No 1) (17-059a),146.544,-17.698,2067.825,Habitat Protection,Northern Management Area,2,Northern
18-033,Pith Reef (18-033),147.016,-18.209,2701.936,Habitat Protection,Central Management Area,3,Central
18-040,Arab Reef (18-040),147.139,-18.415,421.463,Habitat Protection,Central Management Area,3,Central
18-078,Lodestone Reef (18-078),147.103,-18.69,872.034,Habitat Protection,Central Management Area,3,Central
18-100b,(Big) Broadhurst Reef (No 2) (18-100b),147.694,-18.863,350.751,Habitat Protection,Central Management Area,3,Central
18-105a,Banfield Reef (North) (18-105a),147.897,-18.925,654.055,Habitat Protection,Central Management Area,3,Central
18-105b,Banfield Reef (South) (18-105b),147.909,-18.939,429.511,Habitat Protection,Central Management Area,3,Central
18-106,(Little) Broadhurst Reef (18-106),147.694,-18.956,2711.121,Habitat Protection,Central Management Area,3,Central
18-118,Shrimp Reef (18-118),148.053,-18.969,3672.101,Habitat Protection,Central Management Area,3,Central
19-025,Castor Reef (19-025),148.341,-19.015,1651.712,Habitat Protection,Central Management Area,3,Central
19-039,U/N Reef (19-039),148.189,-19.122,107.68,Habitat Protection,Central Management Area,3,Central
19-040,U/N Reef (19-040),148.18,-19.132,21.716,Habitat Protection,Central Management Area,3,Central
19-043,Darley Reef (19-043),148.183,-19.197,13001.086,Habitat Protection,Central Management Area,3,Central
19-138,U/N Reef (19-138),149.425,-19.801,265.62,Habitat Protection,Central Management Area,3,Central
19-141,Stucco Reef (19-141),149.598,-19.558,1198.701,Habitat Protection,Central Management Area,3,Central
21-454,U/N Reef (21-454),151.968,-21.766,995.562,Habitat Protection,Southern Management Area,4,Southern
21-460,U/N Reef (21-460),151.742,-21.711,2182.796,Habitat Protection,Southern Management Area,4,Southern
21-464,U/N Reef (21-464),151.774,-21.756,1141.362,Habitat Protection,Southern Management Area,4,Southern
21-467,U/N Reef (21-467),151.926,-21.887,1046.278,Habitat Protection,Southern Management Area,4,Southern
21-538,Emperor Reef (21-538),152.444,-21.884,2251.597,Habitat Protection,Southern Management Area,4,Southern
21-539,U/N Reef (21-539),152.271,-21.94,1656.735,Habitat Protection,Southern Management Area,4,Southern
21-553,U/N Reef (21-553),152.347,-21.976,284.986,Habitat Protection,Southern Management Area,4,Southern
23-076,Lamont Reef (23-076),152.027,-23.599,1524.557,Habitat Protection,Southern Management Area,4,Southern
23-079,Boult Reef (23-079),152.272,-23.757,1008.826,Habitat Protection,Southern Management Area,4,Southern
10-384,U/N Reef (10-384),143.964,-10.71,981.709,Marine National Park,Far Northern Management Area,1,Far Northern
10-400,U/N Reef (10-400),143.99,-10.794,356.319,Marine National Park,Far Northern Management Area,1,Far Northern
10-403,U/N Reef (10-403),143.996,-10.824,445.53,Marine National Park,Far Northern Management Area,1,Far Northern
11-049,U/N Reef (11-049),143.336,-11.361,397.781,Marine National Park,Far Northern Management Area,1,Far Northern
11-162,U/N Reef (11-162),143.291,-11.604,341.731,Marine National Park,Far Northern Management Area,1,Far Northern
14-118,Eyrie Reef (14-118),145.379,-14.711,1499.693,Marine National Park,Northern Management Area,2,Northern
14-132a,Rocky Islets Reef (14-132a),145.48,-14.855,613.219,Marine National Park,Northern Management Area,2,Northern
14-132c,U/N Reef (14-132c),145.489,-14.869,18.228,Marine National Park,Northern Management Area,2,Northern
14-147a,South Direction Reef (North) (14-147a),145.524,-14.824,199.755,Marine National Park,Northern Management Area,2,Northern
15-033,Lark Reef (15-033),145.574,-15.288,6845.518,Marine National Park,Northern Management Area,2,Northern
15-089,Endeavour Reef (15-089),145.582,-15.777,2042.128,Marine National Park,Northern Management Area,2,Northern
15-099e,Agincourt Reefs (No 2b) (15-099e),145.858,-16.03,108.728,Marine National Park,Northern Management Area,2,Northern
16-025,Opal Reef (16-025),145.89,-16.221,2853.692,Marine National Park,Northern Management Area,2,Northern
16-028,Low Islands Reef (16-028),145.564,-16.386,234.32,Marine National Park,Northern Management Area,2,Northern
16-030,Norman Reef (16-030),145.997,-16.428,528.4,Marine National Park,Northern Management Area,2,Northern
16-032,Saxon Reef (16-032),145.99,-16.465,286.935,Marine National Park,Northern Management Area,2,Northern
16-042,Breaking Patches (16-042),145.98,-16.582,173.147,Marine National Park,Northern Management Area,2,Northern
16-049,Green Island Reef (16-049),145.999,-16.767,3543.542,Marine National Park,Northern Management Area,2,Northern
16-057,Hastings Reef (16-057),146.008,-16.518,1479.16,Marine National Park,Northern Management Area,2,Northern
