Reef ID,ReefName,X_COORD,Y_COORD,Area_HA,Zone,MgmtArea,MgmtAreaCode,MgmtAreaShort
13-117b,U/N Reef (13-117b),144.096,-13.6,261.311,Habitat Protection,Far Northern Management Area,1,Far Northern
13-124,U/N Reef (13-124),144.079,-13.853,2069.709,Habitat Protection,Far Northern Management Area,1,Far Northern
13-130,Davie Reef (13-130),144.455,-13.977,676.312,Habitat Protection,Far Northern Management Area,1,Far Northern
13-133,Tydeman Reef (13-133),144.52,-13.984,1374.435,Habitat Protection,Far Northern Management Area,1,Far Northern
14-079,Jewell Reef (14-079),145.351,-14.38,4959.227,Habitat Protection,Far Northern Management Area,1,Far Northern
14-082,Crescent Reef (14-082),145.089,-14.416,2934.816,Habitat Protection,Far Northern Management Area,1,Far Northern
14-083,Parke Reef (14-083),145.322,-14.42,2665.667,Habitat Protection,Far Northern Management Area,1,Far Northern
14-087,Snake Reef (14-087),145.025,-14.473,1163.231,Habitat Protection,Far Northern Management Area,1,Far Northern
14-088,Waining Reef (14-088),145.222,-14.456,15133.539,Habitat Protection,Far Northern Management Area,1,Far Northern
14-109,Fly Reef (14-109),145.158,-14.507,142.548,Habitat Protection,Far Northern Management Area,1,Far Northern
