T_ID,SAMPLE_DATE,YEAR,YEAR.2,LT_SITE,TRANSECT_NO,VIZ,DEPTH,SCI,SLOPE_AV,RUG_AV,EXPOSURE
2023_CUMBERLAND_CRG1_4,17/04/2023,2023,2023,CRG1,4,6,6,4.32,2.4,1.8,Sheltered
2023_CUMBERLAND_CRG1_5,17/04/2023,2023,2023,CRG1,5,6,6,3.6,1.8,2,Sheltered
2023_CUMBERLAND_BRY1_1,18/04/2023,2023,2023,BRY1,1,4,5,4,2,2,Sheltered
2023_CUMBERLAND_BRY1_2,18/04/2023,2023,2023,BRY1,2,4,7,3.96,1.8,2.2,Sheltered
2023_CUMBERLAND_BRY1_3,18/04/2023,2023,2023,BRY1,3,4,7,4,2,2,Sheltered
2023_CUMBERLAND_BRY1_4,18/04/2023,2023,2023,BRY1,4,4,6,4.68,2.6,1.8,Sheltered
2023_CUMBERLAND_BRY1_5,18/04/2023,2023,2023,BRY1,5,4,6.5,5.04,2.8,1.8,Sheltered
2023_CUMBERLAND_BRY2_1,18/04/2023,2023,2023,BRY2,1,5,5,1,1,1,Sheltered
2023_CUMBERLAND_BRY2_2,18/04/2023,2023,2023,BRY2,2,5,6,1,1,1,Sheltered
2023_CUMBERLAND_BRY2_3,18/04/2023,2023,2023,BRY2,3,5,5,1,1,1,Sheltered
2023_CUMBERLAND_BRY2_4,18/04/2023,2023,2023,BRY2,4,5,5,3.2,1.6,2,Sheltered
2023_CUMBERLAND_BRY2_5,18/04/2023,2023,2023,BRY2,5,5,6,2.88,1.6,1.8,Sheltered
2023_FAMILY_BI1_1,27/05/2023,2023,2023,BI1,1,4,6,3.96,1.8,2.2,Exposed
2023_FAMILY_BI1_2,27/05/2023,2023,2023,BI1,2,4,5,6.72,2.4,2.8,Exposed
2023_FAMILY_BI1_3,27/05/2023,2023,2023,BI1,3,4,5,7.28,2.6,2.8,Exposed
2023_FAMILY_BI1_4,27/05/2023,2023,2023,BI1,4,5,6,4.16,1.6,2.6,Exposed
2023_FAMILY_BI1_5,27/05/2023,2023,2023,BI1,5,5,5,3.52,1.6,2.2,Exposed
2023_FAMILY_SI1_1,27/05/2023,2023,2023,SI1,1,5,5,5.04,1.8,2.8,Sheltered
2023_FAMILY_SI1_2,27/05/2023,2023,2023,SI1,2,5,5,7.04,2.2,3.2,Sheltered
2023_FAMILY_SI1_3,27/05/2023,2023,2023,SI1,3,5,5,7.48,2.2,3.4,Sheltered
2023_FAMILY_SI1_4,27/05/2023,2023,2023,SI1,4,5,4,7.68,2.4,3.2,Sheltered
2023_FAMILY_SI1_5,27/05/2023,2023,2023,SI1,5,5,4,2.56,1.6,1.6,Sheltered
2022_FRANKLAND_HI1_1,13/09/2022,2022,2022,HI1,1,4,5,5.28,2.4,2.2,Sheltered
2022_FRANKLAND_HI1_2,13/09/2022,2022,2022,HI1,2,4,5.2,5.76,2.4,2.4,Sheltered
2022_FRANKLAND_HI1_3,13/09/2022,2022,2022,HI1,3,4,4.1,7.2,3,2.4,Sheltered
2022_FRANKLAND_HI1_4,13/09/2022,2022,2022,HI1,4,4,5,4.8,2.4,2,Sheltered
2022_FRANKLAND_HI1_5,13/09/2022,2022,2022,HI1,5,4,5.1,2.52,1.4,1.8,Sheltered
2022_FRANKLAND_N1_1,14/09/2022,2022,2022,N1,1,4,6.5,4.48,1.4,3.2,Exposed
2022_FRANKLAND_N1_2,14/09/2022,2022,2022,N1,2,4,6.6,3.12,1.2,2.6,Exposed
2022_FRANKLAND_N1_3,14/09/2022,2022,2022,N1,3,4,6.5,3.52,1.6,2.2,Exposed
2022_FRANKLAND_N1_4,14/09/2022,2022,2022,N1,4,4,7.6,5.12,1.6,3.2,Exposed
2022_FRANKLAND_N1_5,14/09/2022,2022,2022,N1,5,4,5.3,3.6,1.2,3,Exposed
2022_FRANKLAND_N2_1,15/09/2022,2022,2022,N2,1,4.5,4.6,4.32,1.8,2.4,Sheltered
2022_FRANKLAND_N2_2,15/09/2022,2022,2022,N2,2,5,5.7,5.76,1.8,3.2,Sheltered
2022_FRANKLAND_N2_3,15/09/2022,2022,2022,N2,3,5,5,7.2,2.4,3,Sheltered
2022_FRANKLAND_N2_4,15/09/2022,2022,2022,N2,4,4,4.5,4.8,2,2.4,Sheltered
2022_FRANKLAND_N2_5,15/09/2022,2022,2022,N2,5,4,5,5.2,2,2.6,Sheltered
2022_FRANKLAND_R1_1,15/09/2022,2022,2022,R1,1,5,5.3,5.72,2.2,2.6,Sheltered
2022_FRANKLAND_R1_2,15/09/2022,2022,2022,R1,2,5,5.1,6.16,2.2,2.8,Sheltered
2022_FRANKLAND_R1_3,15/09/2022,2022,2022,R1,3,5,5.3,5.76,2.4,2.4,Sheltered
2022_FRANKLAND_R1_4,15/09/2022,2022,2022,R1,4,4,5.5,5.28,2.2,2.4,Sheltered
2022_FRANKLAND_R1_5,15/09/2022,2022,2022,R1,5,4,5,2.52,1.4,1.8,Sheltered
2022_FRANKLAND_N3_1,15/09/2022,2022,2022,N3,1,5,7.5,8.4,3,2.8,Sheltered
2022_FRANKLAND_N3_2,15/09/2022,2022,2022,N3,2,5,6.8,7.8,3,2.6,Sheltered
2022_FRANKLAND_N3_3,15/09/2022,2022,2022,N3,3,5,6.7,7.2,3.6,2,Sheltered
2022_FRANKLAND_N3_4,15/09/2022,2022,2022,N3,4,5,7,6.6,3,2.2,Sheltered
2022_FRANKLAND_N3_5,15/09/2022,2022,2022,N3,5,5.5,6,7.2,2.4,3,Sheltered
2022_FRANKLAND_N4_1,16/09/2022,2022,2022,N4,1,5,6,9.88,2.6,3.8,Exposed
2022_FRANKLAND_N4_2,16/09/2022,2022,2022,N4,2,5,6,6.8,2,3.4,Exposed
2022_FRANKLAND_N4_3,16/09/2022,2022,2022,N4,3,5,6.3,5.32,1.4,3.8,Exposed
2022_FRANKLAND_N4_4,16/09/2022,2022,2022,N4,4,5,5.7,5.44,1.6,3.4,Exposed
2022_FRANKLAND_N4_5,16/09/2022,2022,2022,N4,5,5,5.7,5.2,2,2.6,Exposed
2022_FRANKLAND_N5_1,16/09/2022,2022,2022,N5,1,6,6.4,5.6,2,2.8,Exposed
2022_FRANKLAND_N5_2,16/09/2022,2022,2022,N5,2,6,6.4,7.2,2.4,3,Exposed
2022_FRANKLAND_N5_3,16/09/2022,2022,2022,N5,3,6,6,6,2,3,Exposed
2022_FRANKLAND_N5_4,16/09/2022,2022,2022,N5,4,6,6.8,8,2,4,Exposed
2022_FRANKLAND_N5_5,16/09/2022,2022,2022,N5,5,6,6.4,7.2,1.8,4,Exposed
2022_FRANKLAND_R2_1,16/09/2022,2022,2022,R2,1,6,5.5,4.16,1.6,2.6,Exposed
2022_FRANKLAND_R2_2,16/09/2022,2022,2022,R2,2,5,6,6.6,2.2,3,Exposed
2022_FRANKLAND_R2_3,16/09/2022,2022,2022,R2,3,5,5.5,5.2,2,2.6,Exposed
2022_FRANKLAND_R2_4,16/09/2022,2022,2022,R2,4,5,5.2,5.6,2,2.8,Exposed
2022_FRANKLAND_R2_5,16/09/2022,2022,2022,R2,5,5,5.2,7.04,2.2,3.2,Exposed
2022_FRANKLAND_HI2_1,17/09/2022,2022,2022,HI2,1,4,5.3,6.4,2,3.2,Exposed
2022_FRANKLAND_HI2_2,17/09/2022,2022,2022,HI2,2,4,5,8.64,2.4,3.6,Exposed
2022_FRANKLAND_HI2_3,17/09/2022,2022,2022,HI2,3,4,5.5,4.48,1.4,3.2,Exposed
2022_FRANKLAND_HI2_4,17/09/2022,2022,2022,HI2,4,4,4.3,7.2,1.8,4,Exposed
2022_FRANKLAND_HI2_5,17/09/2022,2022,2022,HI2,5,4,5.7,6.4,1.6,4,Exposed
2022_FRANKLAND_HI3_1,17/09/2022,2022,2022,HI3,1,4,5.6,7.68,3.2,2.4,Sheltered
2022_FRANKLAND_HI3_2,17/09/2022,2022,2022,HI3,2,4,5,7.92,3.6,2.2,Sheltered
2022_FRANKLAND_HI3_3,17/09/2022,2022,2022,HI3,3,4,4.2,7.92,3.6,2.2,Sheltered
2022_FRANKLAND_HI3_4,17/09/2022,2022,2022,HI3,4,5,5,6.4,3.2,2,Sheltered
2022_FRANKLAND_HI3_5,17/09/2022,2022,2022,HI3,5,5,5.3,6.12,3.4,1.8,Sheltered
2022_FRANKLAND_R3_1,17/09/2022,2022,2022,R3,1,5,6.5,5.04,2.8,1.8,Sheltered
2022_FRANKLAND_R3_2,17/09/2022,2022,2022,R3,2,5,6,5.2,2.6,2,Sheltered
2022_FRANKLAND_R3_3,17/09/2022,2022,2022,R3,3,5,6.5,6.6,3,2.2,Sheltered
2022_FRANKLAND_R3_4,17/09/2022,2022,2022,R3,4,5,6.5,7.48,3.4,2.2,Sheltered
2022_FRANKLAND_R3_5,17/09/2022,2022,2022,R3,5,5,6.1,5.28,2.2,2.4,Sheltered
2022_FRANKLAND_N6_1,18/09/2022,2022,2022,N6,1,4,8.4,5.2,2,2.6,Sheltered
2022_FRANKLAND_N6_2,18/09/2022,2022,2022,N6,2,4,8.5,6.72,2.8,2.4,Sheltered
2022_FRANKLAND_N6_3,18/09/2022,2022,2022,N6,3,4,9,5.76,2.4,2.4,Sheltered
2022_FRANKLAND_N6_4,18/09/2022,2022,2022,N6,4,4,7.6,7.2,3,2.4,Sheltered
2022_FRANKLAND_N6_5,18/09/2022,2022,2022,N6,5,4,8.1,9.36,3.6,2.6,Sheltered
2023_KEPPEL_MI1_1,16/02/2023,2023,2023,MI1,1,5,7,4,2,2,Semi-exposed
2023_KEPPEL_MI1_2,16/02/2023,2023,2023,MI1,2,5,8,5.72,2.2,2.6,Semi-exposed
2023_KEPPEL_MI1_3,16/02/2023,2023,2023,MI1,3,5,9,7.2,3,2.4,Semi-exposed
2023_KEPPEL_MI1_4,16/02/2023,2023,2023,MI1,4,6,8,4,2,2,Semi-exposed
2023_KEPPEL_MI1_5,16/02/2023,2023,2023,MI1,5,6,9,4.4,2,2.2,Semi-exposed
2023_KEPPEL_M1_1,16/02/2023,2023,2023,M1,1,4,2,4,2,2,Sheltered
2023_KEPPEL_M1_2,16/02/2023,2023,2023,M1,2,4,3,4,2,2,Sheltered
2023_KEPPEL_M1_3,16/02/2023,2023,2023,M1,3,4,3,4,2,2,Sheltered
2023_KEPPEL_M1_4,16/02/2023,2023,2023,M1,4,4,3,4,2,2,Sheltered
2023_KEPPEL_M1_5,16/02/2023,2023,2023,M1,5,4,3,4,2,2,Sheltered
2023_KEPPEL_M2_1,16/02/2023,2023,2023,M2,1,5,4,4,2,2,Semi-exposed
2023_KEPPEL_M2_2,16/02/2023,2023,2023,M2,2,6,4,4,2,2,Semi-exposed
2023_KEPPEL_M2_3,16/02/2023,2023,2023,M2,3,6,4.5,4,2,2,Semi-exposed
2023_KEPPEL_M2_4,16/02/2023,2023,2023,M2,4,6,5,4,2,2,Semi-exposed
2023_KEPPEL_M2_5,16/02/2023,2023,2023,M2,5,7,5,4,2,2,Semi-exposed
2023_KEPPEL_M4_1,17/02/2023,2023,2023,M4,1,7,3,4.8,2,2.4,Sheltered
2023_KEPPEL_M4_2,17/02/2023,2023,2023,M4,2,7,3,4.4,2,2.2,Sheltered
2023_KEPPEL_M4_3,17/02/2023,2023,2023,M4,3,7,3,4.4,2,2.2,Sheltered
2023_KEPPEL_M4_4,17/02/2023,2023,2023,M4,4,6,3,4,2,2,Sheltered
2023_KEPPEL_M4_5,17/02/2023,2023,2023,M4,5,5,4,4.4,2,2.2,Sheltered
2023_KEPPEL_M3_1,17/02/2023,2023,2023,M3,1,5,7,4.4,2,2.2,Semi-exposed
2023_KEPPEL_M3_2,17/02/2023,2023,2023,M3,2,5,8,4.8,2,2.4,Semi-exposed
2023_KEPPEL_M3_3,17/02/2023,2023,2023,M3,3,6,8,4,2,2,Semi-exposed
2023_KEPPEL_M3_4,17/02/2023,2023,2023,M3,4,6,7,4.4,2,2.2,Semi-exposed
2023_KEPPEL_M3_5,17/02/2023,2023,2023,M3,5,6,6,4.4,2.2,2,Semi-exposed
2023_KEPPEL_H2_1,18/02/2023,2023,2023,H2,1,6,10,7.28,2.6,2.8,Exposed
2023_KEPPEL_H2_2,18/02/2023,2023,2023,H2,2,5,10,6.6,2.2,3,Exposed
2023_KEPPEL_H2_3,18/02/2023,2023,2023,H2,3,6,11,4.4,2,2.2,Exposed
2023_KEPPEL_H2_4,18/02/2023,2023,2023,H2,4,7,9,5.6,2,2.8,Exposed
2023_KEPPEL_H2_5,18/02/2023,2023,2023,H2,5,7,9,6,2,3,Exposed
2023_KEPPEL_GK4_1,18/02/2023,2023,2023,GK4,1,8,9,6,2,3,Exposed
2023_KEPPEL_GK4_2,18/02/2023,2023,2023,GK4,2,8,11,4.4,2,2.2,Exposed
2023_KEPPEL_GK4_3,18/02/2023,2023,2023,GK4,3,8,11,4.4,2,2.2,Exposed
2023_KEPPEL_GK4_4,18/02/2023,2023,2023,GK4,4,7,9,5.6,2,2.8,Exposed
2023_KEPPEL_GK4_5,18/02/2023,2023,2023,GK4,5,7,8,4.4,2,2.2,Exposed
2023_KEPPEL_GK3_1,18/02/2023,2023,2023,GK3,1,6,10,4,2,2,Semi-exposed
2023_KEPPEL_GK3_2,18/02/2023,2023,2023,GK3,2,7,11,4,2,2,Semi-exposed
2023_KEPPEL_GK3_3,18/02/2023,2023,2023,GK3,3,7,10,4,2,2,Semi-exposed
2023_KEPPEL_GK3_4,18/02/2023,2023,2023,GK3,4,7,10,4,2,2,Semi-exposed
2023_KEPPEL_GK3_5,18/02/2023,2023,2023,GK3,5,6,10,4,2,2,Semi-exposed
2023_KEPPEL_GK2_1,18/02/2023,2023,2023,GK2,1,7,8,6.4,2,3.2,Exposed
2023_KEPPEL_GK2_2,18/02/2023,2023,2023,GK2,2,6,9,4.84,2.2,2.2,Exposed
2023_KEPPEL_GK2_3,18/02/2023,2023,2023,GK2,3,6,9,4.84,2.2,2.2,Exposed
2023_KEPPEL_GK2_4,18/02/2023,2023,2023,GK2,4,7,10,6.16,2.2,2.8,Exposed
2023_KEPPEL_GK2_5,18/02/2023,2023,2023,GK2,5,7,9,8.4,2.8,3,Exposed
2023_KEPPEL_BA2_1,19/02/2023,2023,2023,BA2,1,10,9,5.28,2.2,2.4,Semi-exposed
2023_KEPPEL_BA2_2,19/02/2023,2023,2023,BA2,2,10,9,5.28,2.2,2.4,Semi-exposed
2023_KEPPEL_BA2_3,19/02/2023,2023,2023,BA2,3,10,10,4,2,2,Semi-exposed
2023_KEPPEL_BA2_4,19/02/2023,2023,2023,BA2,4,10,9,6,2,3,Semi-exposed
2023_KEPPEL_BA2_5,19/02/2023,2023,2023,BA2,5,9,10,10.64,2.8,3.8,Semi-exposed
2023_KEPPEL_BA1_1,19/02/2023,2023,2023,BA1,1,10,9,5.28,2.2,2.4,Exposed
2023_KEPPEL_BA1_2,19/02/2023,2023,2023,BA1,2,10,9,4,2,2,Exposed
2023_KEPPEL_BA1_3,19/02/2023,2023,2023,BA1,3,10,9,4,2,2,Exposed
2023_KEPPEL_BA1_4,19/02/2023,2023,2023,BA1,4,10,9,4.4,2.2,2,Exposed
2023_KEPPEL_BA1_5,19/02/2023,2023,2023,BA1,5,10,9,9.52,2.8,3.4,Exposed
2023_KEPPEL_GK9_1,19/02/2023,2023,2023,GK9,1,7,3,7.28,2.6,2.8,Sheltered
2023_KEPPEL_GK9_2,19/02/2023,2023,2023,GK9,2,7,2,6,2,3,Sheltered
2023_KEPPEL_GK9_3,19/02/2023,2023,2023,GK9,3,7,2,6,2,3,Sheltered
2023_KEPPEL_GK9_4,19/02/2023,2023,2023,GK9,4,7,2,8.4,2.8,3,Sheltered
