T_ID,SAMPLE_DATE,YEAR,YEAR.2,LT_SITE,TRANSECT_NO,VIZ,DEPTH,SCI,SLOPE_AV,RUG_AV,EXPOSURE
2023_WHITSUNDAY_HG6_3,25/09/2023,2023,2023,HG6,3,5,7,12.88,4.6,2.8,Semi-exposed
2023_WHITSUNDAY_HG6_4,25/09/2023,2023,2023,HG6,4,5,8,4.4,2,2.2,Semi-exposed
2023_WHITSUNDAY_HG6_5,25/09/2023,2023,2023,HG6,5,5,7.5,12.6,4.2,3,Semi-exposed
2023_WHITSUNDAY_HG3_1,26/09/2023,2023,2023,HG3,1,6,7,10.92,4.2,2.6,Semi-exposed
2023_WHITSUNDAY_HG3_2,26/09/2023,2023,2023,HG3,2,6,7,14.72,4.6,3.2,Semi-exposed
2023_WHITSUNDAY_HG3_3,26/09/2023,2023,2023,HG3,3,6,7,9.88,3.8,2.6,Semi-exposed
2023_WHITSUNDAY_HG3_4,26/09/2023,2023,2023,HG3,4,6,7,8.32,2.6,3.2,Semi-exposed
2023_WHITSUNDAY_HG3_5,26/09/2023,2023,2023,HG3,5,6,8,12.16,3.8,3.2,Semi-exposed
2023_WHITSUNDAY_HG2_1,26/09/2023,2023,2023,HG2,1,5,8,10.2,3,3.4,Semi-exposed
2023_WHITSUNDAY_HG2_2,26/09/2023,2023,2023,HG2,2,6,8,10.08,3.6,2.8,Semi-exposed
2023_WHITSUNDAY_HG2_3,26/09/2023,2023,2023,HG2,3,6,7.5,6.76,2.6,2.6,Semi-exposed
2023_WHITSUNDAY_HG2_4,26/09/2023,2023,2023,HG2,4,6,7,12.24,3.4,3.6,Semi-exposed
2023_WHITSUNDAY_HG2_5,26/09/2023,2023,2023,HG2,5,6,8,12.92,3.8,3.4,Semi-exposed
2023_WHITSUNDAY_HG1_1,26/09/2023,2023,2023,HG1,1,6,7,6.4,2,3.2,Semi-exposed
2023_WHITSUNDAY_HG1_2,26/09/2023,2023,2023,HG1,2,6,6.5,6.8,2,3.4,Semi-exposed
2023_WHITSUNDAY_HG1_3,26/09/2023,2023,2023,HG1,3,6,7,5.76,2.4,2.4,Semi-exposed
2023_WHITSUNDAY_HG1_4,26/09/2023,2023,2023,HG1,4,6,7,5.76,1.8,3.2,Semi-exposed
2023_WHITSUNDAY_HG1_5,26/09/2023,2023,2023,HG1,5,6,7.5,8.64,2.4,3.6,Semi-exposed
2023_WHITSUNDAY_HW1_1,27/09/2023,2023,2023,HW1,1,4.5,8,11.52,3.6,3.2,Sheltered
2023_WHITSUNDAY_HW1_2,27/09/2023,2023,2023,HW1,2,5,7.8,10.2,3.4,3,Sheltered
2023_WHITSUNDAY_HW1_3,27/09/2023,2023,2023,HW1,3,4,7.5,10.24,3.2,3.2,Sheltered
2023_WHITSUNDAY_HW1_4,27/09/2023,2023,2023,HW1,4,5,8,11.52,3.6,3.2,Sheltered
2023_WHITSUNDAY_HW1_5,27/09/2023,2023,2023,HW1,5,5,7.5,12.6,4.2,3,Sheltered
2023_WHITSUNDAY_HW3_1,27/09/2023,2023,2023,HW3,1,4,7,11.52,3.6,3.2,Sheltered
2023_WHITSUNDAY_HW3_2,27/09/2023,2023,2023,HW3,2,4,7.5,8.32,3.2,2.6,Sheltered
2023_WHITSUNDAY_HW3_3,27/09/2023,2023,2023,HW3,3,4,7.5,5.2,2.6,2,Sheltered
2023_WHITSUNDAY_HW3_4,27/09/2023,2023,2023,HW3,4,4,7.5,7.8,3,2.6,Sheltered
2023_WHITSUNDAY_HW3_5,27/09/2023,2023,2023,HW3,5,4,7,8.16,3.4,2.4,Sheltered
2023_WHITSUNDAY_HW2_1,27/09/2023,2023,2023,HW2,1,4,5,5.28,2.2,2.4,Sheltered
2023_WHITSUNDAY_HW2_2,27/09/2023,2023,2023,HW2,2,4,6,7.28,2.6,2.8,Sheltered
2023_WHITSUNDAY_HW2_3,27/09/2023,2023,2023,HW2,3,4,6,8.84,3.4,2.6,Sheltered
2023_WHITSUNDAY_HW2_4,27/09/2023,2023,2023,HW2,4,5,5.3,2.52,1.4,1.8,Sheltered
2023_WHITSUNDAY_HW2_5,27/09/2023,2023,2023,HW2,5,5,5,2.24,1.4,1.6,Sheltered
2023_WHITSUNDAY_BL1_1,28/09/2023,2023,2023,BL1,1,5,6.6,11.52,3.2,3.6,Semi-exposed
2023_WHITSUNDAY_BL1_2,28/09/2023,2023,2023,BL1,2,5,7,9.6,3.2,3,Semi-exposed
2023_WHITSUNDAY_BL1_3,28/09/2023,2023,2023,BL1,3,5,8,10.88,3.2,3.4,Semi-exposed
2023_WHITSUNDAY_BL1_4,28/09/2023,2023,2023,BL1,4,5,6.5,8.96,3.2,2.8,Semi-exposed
2023_WHITSUNDAY_BL1_5,28/09/2023,2023,2023,BL1,5,5,6.5,8.84,3.4,2.6,Semi-exposed
2023_WHITSUNDAY_BL2_1,28/09/2023,2023,2023,BL2,1,4,8,7.84,2.8,2.8,Sheltered
2023_WHITSUNDAY_BL2_2,28/09/2023,2023,2023,BL2,2,4,6,8.96,3.2,2.8,Sheltered
2023_WHITSUNDAY_BL2_3,28/09/2023,2023,2023,BL2,3,5,6.6,8.4,2.8,3,Sheltered
2023_WHITSUNDAY_BL2_4,28/09/2023,2023,2023,BL2,4,4,7.7,6.76,2.6,2.6,Sheltered
2023_WHITSUNDAY_BL2_5,28/09/2023,2023,2023,BL2,5,5,7,6.24,2.6,2.4,Sheltered
2023_WHITSUNDAY_L1_1,28/09/2023,2023,2023,L1,1,4,6.5,7.04,3.2,2.2,Sheltered
2023_WHITSUNDAY_L1_2,28/09/2023,2023,2023,L1,2,4,7,10.08,3.6,2.8,Sheltered
2023_WHITSUNDAY_L1_3,28/09/2023,2023,2023,L1,3,4,7,8.36,3.8,2.2,Sheltered
2023_WHITSUNDAY_L1_4,28/09/2023,2023,2023,L1,4,4,7,11.2,4,2.8,Sheltered
2023_WHITSUNDAY_L1_5,28/09/2023,2023,2023,L1,5,4,6.5,6.4,3.2,2,Sheltered
2023_WHITSUNDAY_HY2_1,29/09/2023,2023,2023,HY2,1,4,7,5.72,2.6,2.2,Semi-exposed
2023_WHITSUNDAY_HY2_2,29/09/2023,2023,2023,HY2,2,4,7.5,2.16,1.2,1.8,Semi-exposed
2023_WHITSUNDAY_HY2_3,29/09/2023,2023,2023,HY2,3,4,8,3.2,1.6,2,Semi-exposed
2023_WHITSUNDAY_HY2_4,29/09/2023,2023,2023,HY2,4,4,7,7.68,3.2,2.4,Semi-exposed
2023_WHITSUNDAY_HY2_5,29/09/2023,2023,2023,HY2,5,4,7.5,6.76,2.6,2.6,Semi-exposed
2023_WHITSUNDAY_HY3_1,29/09/2023,2023,2023,HY3,1,4,6,7.8,3,2.6,Sheltered
2023_WHITSUNDAY_HY3_2,29/09/2023,2023,2023,HY3,2,4,6,7.28,2.8,2.6,Sheltered
2023_WHITSUNDAY_HY3_3,29/09/2023,2023,2023,HY3,3,4,6,7.84,2.8,2.8,Sheltered
2023_WHITSUNDAY_HY3_4,29/09/2023,2023,2023,HY3,4,4,6,7.28,2.8,2.6,Sheltered
2023_WHITSUNDAY_HY3_5,29/09/2023,2023,2023,HY3,5,4,6,8.64,3.6,2.4,Sheltered
2023_WHITSUNDAY_W1_1,2/10/2023,2023,2023,W1,1,4,7,5.04,2.8,1.8,Semi-exposed
2023_WHITSUNDAY_W1_2,2/10/2023,2023,2023,W1,2,4,7,6.4,3.2,2,Semi-exposed
2023_WHITSUNDAY_W1_3,2/10/2023,2023,2023,W1,3,4,8,7.6,3.8,2,Semi-exposed
2023_WHITSUNDAY_W1_4,2/10/2023,2023,2023,W1,4,4,6,4.68,2.6,1.8,Semi-exposed
2023_WHITSUNDAY_W1_5,2/10/2023,2023,2023,W1,5,4,5,8.8,4,2.2,Semi-exposed
2023_WHITSUNDAY_HB1_1,2/10/2023,2023,2023,HB1,1,3,6,8.64,3.6,2.4,Exposed
2023_WHITSUNDAY_HB1_2,2/10/2023,2023,2023,HB1,2,3,6,9.6,4,2.4,Exposed
2023_WHITSUNDAY_HB1_3,2/10/2023,2023,2023,HB1,3,3,7,8.84,3.4,2.6,Exposed
2023_WHITSUNDAY_HB1_4,2/10/2023,2023,2023,HB1,4,4,7,7.68,3.2,2.4,Exposed
2023_WHITSUNDAY_HB1_5,2/10/2023,2023,2023,HB1,5,4,7,9.88,3.8,2.6,Exposed
2023_WHITSUNDAY_HB2_1,2/10/2023,2023,2023,HB2,1,5,8,11.96,4.6,2.6,Exposed
2023_WHITSUNDAY_HB2_2,2/10/2023,2023,2023,HB2,2,5,8,10.56,4.4,2.4,Exposed
2023_WHITSUNDAY_HB2_3,2/10/2023,2023,2023,HB2,3,5,8,12.48,4.8,2.6,Exposed
2023_WHITSUNDAY_HB2_4,2/10/2023,2023,2023,HB2,4,5,8,10.92,4.2,2.6,Exposed
2023_WHITSUNDAY_HB2_5,2/10/2023,2023,2023,HB2,5,5,8,10.56,4.8,2.2,Exposed
2023_WHITSUNDAY_W2_1,3/10/2023,2023,2023,W2,1,5,5,8.16,3.4,2.4,Semi-exposed
2023_WHITSUNDAY_W2_2,3/10/2023,2023,2023,W2,2,5,7,6,3,2,Semi-exposed
2023_WHITSUNDAY_W2_3,3/10/2023,2023,2023,W2,3,5,6,7.68,3.2,2.4,Semi-exposed
2023_WHITSUNDAY_W2_4,3/10/2023,2023,2023,W2,4,5,6,9.6,3.2,3,Semi-exposed
2023_WHITSUNDAY_W2_5,3/10/2023,2023,2023,W2,5,5,6,8.32,3.2,2.6,Semi-exposed
2023_WHITSUNDAY_W5_1,3/10/2023,2023,2023,W5,1,6,7,3.2,2,1.6,Semi-exposed
2023_WHITSUNDAY_W5_2,3/10/2023,2023,2023,W5,2,6,7,3.96,2.2,1.8,Semi-exposed
2023_WHITSUNDAY_W5_3,3/10/2023,2023,2023,W5,3,6,8,2.8,2,1.4,Semi-exposed
2023_WHITSUNDAY_W5_4,3/10/2023,2023,2023,W5,4,6,6,5.72,2.6,2.2,Semi-exposed
2023_WHITSUNDAY_W5_5,3/10/2023,2023,2023,W5,5,6,6,3.24,1.8,1.8,Semi-exposed
2023_WHITSUNDAY_W3_1,3/10/2023,2023,2023,W3,1,5,8,6.24,2.4,2.6,Semi-exposed
2023_WHITSUNDAY_W3_2,3/10/2023,2023,2023,W3,2,5,8,6.24,2.4,2.6,Semi-exposed
2023_WHITSUNDAY_W3_3,3/10/2023,2023,2023,W3,3,5,7,8.4,2.8,3,Semi-exposed
2023_WHITSUNDAY_W3_4,3/10/2023,2023,2023,W3,4,5,6,9.6,3,3.2,Semi-exposed
2023_WHITSUNDAY_W3_5,3/10/2023,2023,2023,W3,5,5,7,7.68,3.2,2.4,Semi-exposed
2023_WHITSUNDAY_W4_1,3/10/2023,2023,2023,W4,1,5,6,7.2,3,2.4,Semi-exposed
2023_WHITSUNDAY_W4_2,3/10/2023,2023,2023,W4,2,5,6,7.2,3,2.4,Semi-exposed
2023_WHITSUNDAY_W4_3,3/10/2023,2023,2023,W4,3,5,7,7.84,2.8,2.8,Semi-exposed
2023_WHITSUNDAY_W4_4,3/10/2023,2023,2023,W4,4,4,6.5,5.72,2.2,2.6,Semi-exposed
2023_WHITSUNDAY_W4_5,3/10/2023,2023,2023,W4,5,4,6,6.24,2.6,2.4,Semi-exposed
2023_WHITSUNDAY_HY1_1,4/10/2023,2023,2023,HY1,1,8,7,17,5,3.4,Semi-exposed
2023_WHITSUNDAY_HY1_2,4/10/2023,2023,2023,HY1,2,7,6.5,17.28,4.8,3.6,Semi-exposed
2023_WHITSUNDAY_HY1_3,4/10/2023,2023,2023,HY1,3,7,6.5,15.64,4.6,3.4,Semi-exposed
2023_WHITSUNDAY_HY1_4,4/10/2023,2023,2023,HY1,4,7,6,15.36,4.8,3.2,Semi-exposed
2023_WHITSUNDAY_HY1_5,4/10/2023,2023,2023,HY1,5,7,7,15.36,4.8,3.2,Semi-exposed
2023_WHITSUNDAY_HE3_1,4/10/2023,2023,2023,HE3,1,6,7,6.72,2.8,2.4,Exposed
2023_WHITSUNDAY_HE3_2,4/10/2023,2023,2023,HE3,2,6,7,7.68,3.2,2.4,Exposed
2023_WHITSUNDAY_HE3_3,4/10/2023,2023,2023,HE3,3,6,8,10.88,3.4,3.2,Exposed
2023_WHITSUNDAY_HE3_4,4/10/2023,2023,2023,HE3,4,7,7,5.28,2.2,2.4,Exposed
2023_WHITSUNDAY_HE3_5,4/10/2023,2023,2023,HE3,5,7,6.5,3.6,1.8,2,Exposed
2023_WHITSUNDAY_HE1_1,4/10/2023,2023,2023,HE1,1,6,7,14.4,4,3.6,Exposed
2023_WHITSUNDAY_HE1_2,4/10/2023,2023,2023,HE1,2,6,7,13.44,4.2,3.2,Exposed
2023_WHITSUNDAY_HE1_3,4/10/2023,2023,2023,HE1,3,6,7,10.4,4,2.6,Exposed
2023_WHITSUNDAY_HE1_4,4/10/2023,2023,2023,HE1,4,7,7,10.92,4.2,2.6,Exposed
2023_WHITSUNDAY_HE1_5,4/10/2023,2023,2023,HE1,5,7,8,14.08,4.4,3.2,Exposed
2023_WHITSUNDAY_HG7_1,4/10/2023,2023,2023,HG7,1,7,6,2.24,1.4,1.6,Exposed
2023_WHITSUNDAY_HG7_2,4/10/2023,2023,2023,HG7,2,7,5,7.04,3.2,2.2,Exposed
2023_WHITSUNDAY_HG7_3,4/10/2023,2023,2023,HG7,3,7,7,11.2,4,2.8,Exposed
2023_WHITSUNDAY_HG7_4,4/10/2023,2023,2023,HG7,4,7,7,6.72,2.8,2.4,Exposed
2023_WHITSUNDAY_HG7_5,4/10/2023,2023,2023,HG7,5,7,7.5,7.68,3.2,2.4,Exposed
2023_WHITSUNDAY_HB4_1,5/10/2023,2023,2023,HB4,1,7,7,11,5,2.2,Exposed
2023_WHITSUNDAY_HB4_2,5/10/2023,2023,2023,HB4,2,7,7,9.6,4.8,2,Exposed
2023_WHITSUNDAY_HB4_3,5/10/2023,2023,2023,HB4,3,7,8,9.68,4.4,2.2,Exposed
2023_WHITSUNDAY_HB4_4,5/10/2023,2023,2023,HB4,4,7,7,11,5,2.2,Exposed
2023_WHITSUNDAY_HB4_5,5/10/2023,2023,2023,HB4,5,7,6,7.92,4.4,1.8,Exposed
2023_WHITSUNDAY_HB5_1,5/10/2023,2023,2023,HB5,1,7,7,3.96,2.2,1.8,Exposed
2023_WHITSUNDAY_HB5_2,5/10/2023,2023,2023,HB5,2,7,6,9,3,3,Exposed
2023_WHITSUNDAY_HB5_3,5/10/2023,2023,2023,HB5,3,7,6.5,10.8,3.6,3,Exposed
2023_WHITSUNDAY_HB5_4,5/10/2023,2023,2023,HB5,4,6,5,4.48,2.8,1.6,Exposed
2023_WHITSUNDAY_HB5_5,5/10/2023,2023,2023,HB5,5,6,7,5.72,2.6,2.2,Exposed
2023_WHITSUNDAY_B4_1,5/10/2023,2023,2023,B4,1,10,6,8.64,3.6,2.4,Exposed
2023_WHITSUNDAY_B4_2,5/10/2023,2023,2023,B4,2,10,7,13.8,4.6,3,Exposed
2023_WHITSUNDAY_B4_3,5/10/2023,2023,2023,B4,3,9,8,10.92,4.2,2.6,Exposed
2023_WHITSUNDAY_B4_4,5/10/2023,2023,2023,B4,4,7,7,5.2,2.6,2,Exposed
2023_WHITSUNDAY_B4_5,5/10/2023,2023,2023,B4,5,7,6,8.64,3.6,2.4,Exposed
2023_WHITSUNDAY_B3_1,6/10/2023,2023,2023,B3,1,10,6,16.8,4.2,4,Exposed
2023_WHITSUNDAY_B3_2,6/10/2023,2023,2023,B3,2,10,6,12.92,3.4,3.8,Exposed
2023_WHITSUNDAY_B3_3,6/10/2023,2023,2023,B3,3,10,6,10.88,3.2,3.4,Exposed
2023_WHITSUNDAY_B3_4,6/10/2023,2023,2023,B3,4,12,6,11.2,2.8,4,Exposed
2023_WHITSUNDAY_B3_5,6/10/2023,2023,2023,B3,5,12,6.5,10.4,2.6,4,Exposed
2023_WHITSUNDAY_DB2_1,6/10/2023,2023,2023,DB2,1,8,7,6.72,2.4,2.8,Semi-exposed
2023_WHITSUNDAY_DB2_2,6/10/2023,2023,2023,DB2,2,8,7,6.76,2.6,2.6,Semi-exposed
2023_WHITSUNDAY_DB2_3,6/10/2023,2023,2023,DB2,3,8,7,8.16,2.4,3.4,Semi-exposed
2023_WHITSUNDAY_DB2_4,6/10/2023,2023,2023,DB2,4,8,7,6.6,2.2,3,Semi-exposed
2023_WHITSUNDAY_DB2_5,6/10/2023,2023,2023,DB2,5,7,6.5,10.24,3.2,3.2,Semi-exposed
2023_WHITSUNDAY_DB1_1,6/10/2023,2023,2023,DB1,1,7,6,2.52,1.4,1.8,Semi-exposed
2023_WHITSUNDAY_DB1_2,6/10/2023,2023,2023,DB1,2,7,6,2.16,1.2,1.8,Semi-exposed
2023_WHITSUNDAY_DB1_3,6/10/2023,2023,2023,DB1,3,7,6,2.8,1.4,2,Semi-exposed
2023_WHITSUNDAY_DB1_4,6/10/2023,2023,2023,DB1,4,7,6,3.08,1.4,2.2,Semi-exposed
2023_WHITSUNDAY_DB1_5,6/10/2023,2023,2023,DB1,5,7,5,3.12,1.2,2.6,Semi-exposed
2023_WHITSUNDAY_B2_1,6/10/2023,2023,2023,B2,1,5,6.5,5.4,1.8,3,Sheltered
2023_WHITSUNDAY_B2_2,6/10/2023,2023,2023,B2,2,5,5,4.8,2,2.4,Sheltered
2023_WHITSUNDAY_B2_3,6/10/2023,2023,2023,B2,3,5,7,4.32,2.4,1.8,Sheltered
2023_WHITSUNDAY_B2_4,6/10/2023,2023,2023,B2,4,7,7,4,2,2,Sheltered
2023_WHITSUNDAY_B2_5,6/10/2023,2023,2023,B2,5,7,6,6.24,2.6,2.4,Sheltered
2023_WHITSUNDAY_B5_1,7/10/2023,2023,2023,B5,1,10,7.5,5.76,2.4,2.4,Semi-exposed
2023_WHITSUNDAY_B5_2,7/10/2023,2023,2023,B5,2,12,8,8.32,3.2,2.6,Semi-exposed
2023_WHITSUNDAY_B5_3,7/10/2023,2023,2023,B5,3,10,7,11.56,3.4,3.4,Semi-exposed
2023_WHITSUNDAY_B5_4,7/10/2023,2023,2023,B5,4,10,7,4,2,2,Semi-exposed
2023_WHITSUNDAY_B5_5,7/10/2023,2023,2023,B5,5,10,7,3.6,1.8,2,Semi-exposed
2024_PALM_PE5_1,25/10/2023,2023,2024,PE5,1,5,9.7,7.68,3.2,2.4,Exposed
2024_PALM_PE5_2,25/10/2023,2023,2024,PE5,2,5,9.6,15.12,4.2,3.6,Exposed
2024_PALM_PE5_3,25/10/2023,2023,2024,PE5,3,5,7.8,11.52,3.6,3.2,Exposed
2024_PALM_PE5_4,25/10/2023,2023,2024,PE5,4,7,7,12.16,3.8,3.2,Exposed
2024_PALM_PE5_5,25/10/2023,2023,2024,PE5,5,7,8,12.16,3.8,3.2,Exposed
2024_PALM_PE3_1,25/10/2023,2023,2024,PE3,1,6,8.3,8.16,3.4,2.4,Exposed
2024_PALM_PE3_2,25/10/2023,2023,2024,PE3,2,6,9.7,11.2,4,2.8,Exposed
2024_PALM_PE3_3,25/10/2023,2023,2024,PE3,3,6,9.9,14.72,4.6,3.2,Exposed
2024_PALM_PE3_4,25/10/2023,2023,2024,PE3,4,6,8.6,15.64,4.6,3.4,Exposed
2024_PALM_PE3_5,25/10/2023,2023,2024,PE3,5,6,8.3,15.12,4.2,3.6,Exposed
2024_PALM_PE2_1,25/10/2023,2023,2024,PE2,1,7,6.3,11.52,3.6,3.2,Exposed
2024_PALM_PE2_2,25/10/2023,2023,2024,PE2,2,7,7.8,12.24,3.4,3.6,Exposed
2024_PALM_PE2_3,25/10/2023,2023,2024,PE2,3,5,8.6,15.84,4.4,3.6,Exposed
2024_PALM_PE2_4,25/10/2023,2023,2024,PE2,4,5,5.6,6.72,2.8,2.4,Exposed
2024_PALM_PE2_5,25/10/2023,2023,2024,PE2,5,5,8.4,10.24,3.2,3.2,Exposed
2024_PALM_PE1_1,25/10/2023,2023,2024,PE1,1,6,8.4,8.96,3.2,2.8,Exposed
2024_PALM_PE1_2,25/10/2023,2023,2024,PE1,2,6,8.7,4.8,2.4,2,Exposed
2024_PALM_PE1_3,25/10/2023,2023,2024,PE1,3,9,10,12.92,3.8,3.4,Exposed
2024_PALM_PE1_4,25/10/2023,2023,2024,PE1,4,7,7.1,12.16,3.8,3.2,Exposed
2024_PALM_PE1_5,25/10/2023,2023,2024,PE1,5,7,8.1,6.6,3,2.2,Exposed
2024_PALM_OE4_1,26/10/2023,2023,2024,OE4,1,6,7.5,18.24,4.8,3.8,Exposed
2024_PALM_OE4_2,26/10/2023,2023,2024,OE4,2,6,8.2,13.6,4,3.4,Exposed
2024_PALM_OE4_3,26/10/2023,2023,2024,OE4,3,6,8.3,9.52,3.4,2.8,Exposed
2024_PALM_OE4_4,26/10/2023,2023,2024,OE4,4,5,7.3,12.48,4.8,2.6,Exposed
2024_PALM_OE4_5,26/10/2023,2023,2024,OE4,5,4,9.3,12.48,4.8,2.6,Exposed
2024_PALM_OE6_1,26/10/2023,2023,2024,OE6,1,10,7.2,11.4,3.8,3,Exposed
2024_PALM_OE6_2,26/10/2023,2023,2024,OE6,2,12,8.5,11.52,3.6,3.2,Exposed
2024_PALM_OE6_3,26/10/2023,2023,2024,OE6,3,12,8.5,18.48,4.2,4.4,Exposed
2024_PALM_OE6_4,26/10/2023,2023,2024,OE6,4,10,6.9,14.96,4.4,3.4,Exposed
2024_PALM_OE6_5,26/10/2023,2023,2024,OE6,5,10,9.6,13.6,4,3.4,Exposed
2024_PALM_OE5_1,26/10/2023,2023,2024,OE5,1,10,6.8,13.44,4.2,3.2,Exposed
2024_PALM_OE5_2,26/10/2023,2023,2024,OE5,2,10,6.1,12.92,3.8,3.4,Exposed
2024_PALM_OE5_3,26/10/2023,2023,2024,OE5,3,10,6.2,15.2,4,3.8,Exposed
2024_PALM_OE5_4,26/10/2023,2023,2024,OE5,4,8,8.8,12.16,3.8,3.2,Exposed
2024_PALM_OE5_5,26/10/2023,2023,2024,OE5,5,6,8.6,12,4,3,Exposed
2024_PALM_OE2_1,27/10/2023,2023,2024,OE2,1,5,8.2,8.84,3.4,2.6,Exposed
2024_PALM_OE2_2,27/10/2023,2023,2024,OE2,2,5,9.3,3.6,2,1.8,Exposed
2024_PALM_OE2_3,27/10/2023,2023,2024,OE2,3,5,4.9,10.8,3.6,3,Exposed
2024_PALM_OE2_4,27/10/2023,2023,2024,OE2,4,5,7,7.28,2.6,2.8,Exposed
2024_PALM_OE2_5,27/10/2023,2023,2024,OE2,5,4,6.4,4.4,2.2,2,Exposed
2024_PALM_OE3_1,27/10/2023,2023,2024,OE3,1,5,6.2,7.28,2.6,2.8,Exposed
2024_PALM_OE3_2,27/10/2023,2023,2024,OE3,2,3,8.3,8.84,2.6,3.4,Exposed
2024_PALM_OE3_3,27/10/2023,2023,2024,OE3,3,5,6.9,9.6,3,3.2,Exposed
2024_PALM_OE3_4,27/10/2023,2023,2024,OE3,4,6,5.3,6.76,2.6,2.6,Exposed
2024_PALM_OE3_5,27/10/2023,2023,2024,OE3,5,6,5.8,12.24,3.4,3.6,Exposed
2024_PALM_OE1_1,27/10/2023,2023,2024,OE1,1,4,4.9,8.96,3.2,2.8,Exposed
2024_PALM_OE1_2,27/10/2023,2023,2024,OE1,2,4,4.7,8.84,2.6,3.4,Exposed
2024_PALM_OE1_3,27/10/2023,2023,2024,OE1,3,4,4.6,8.4,3,2.8,Exposed
2024_PALM_OE1_4,27/10/2023,2023,2024,OE1,4,4,5.6,7.8,3,2.6,Exposed
2024_PALM_OE1_5,27/10/2023,2023,2024,OE1,5,4,5.9,9.6,3,3.2,Exposed
2024_PALM_PS5_1,28/10/2023,2023,2024,PS5,1,5,10.5,9.88,3.8,2.6,Sheltered
2024_PALM_PS5_2,28/10/2023,2023,2024,PS5,2,5,9.3,10.2,3.4,3,Sheltered
2024_PALM_PS5_3,28/10/2023,2023,2024,PS5,3,5,9.3,10.64,3.8,2.8,Sheltered
2024_PALM_PS5_4,28/10/2023,2023,2024,PS5,4,5,12.2,14.96,4.4,3.4,Sheltered
2024_PALM_PS5_5,28/10/2023,2023,2024,PS5,5,5,11.4,10.2,3.4,3,Sheltered
2024_PALM_PS3_1,28/10/2023,2023,2024,PS3,1,4,5.9,8.4,3,2.8,Sheltered
2024_PALM_PS3_2,28/10/2023,2023,2024,PS3,2,5,7.3,11.52,3.6,3.2,Sheltered
2024_PALM_PS3_3,28/10/2023,2023,2024,PS3,3,5,7.3,7.04,3.2,2.2,Sheltered
2024_PALM_PS3_4,28/10/2023,2023,2024,PS3,4,3,5.9,10.88,3.4,3.2,Sheltered
2024_PALM_PS3_5,28/10/2023,2023,2024,PS3,5,3,8.1,9.52,3.4,2.8,Sheltered
2024_PALM_OS5_1,28/10/2023,2023,2024,OS5,1,3,6.2,12.16,3.8,3.2,Sheltered
2024_PALM_OS5_2,28/10/2023,2023,2024,OS5,2,3,7.4,9,3,3,Sheltered
2024_PALM_OS5_3,28/10/2023,2023,2024,OS5,3,3,9.9,6.6,3,2.2,Sheltered
2024_PALM_OS5_4,28/10/2023,2023,2024,OS5,4,3,5.9,10.88,3.4,3.2,Sheltered
2024_PALM_OS5_5,28/10/2023,2023,2024,OS5,5,3,8.1,9.52,3.4,2.8,Sheltered
2024_PALM_OS4_1,29/10/2023,2023,2024,OS4,1,3,7.9,1.8,1,1.8,Sheltered
2024_PALM_OS4_2,29/10/2023,2023,2024,OS4,2,3,7.4,2.24,1.4,1.6,Sheltered
2024_PALM_OS4_3,29/10/2023,2023,2024,OS4,3,3,7.3,2,1,2,Sheltered
2024_PALM_OS4_4,29/10/2023,2023,2024,OS4,4,3,7.3,1.6,1,1.6,Sheltered
2024_PALM_OS4_5,29/10/2023,2023,2024,OS4,5,3,6.6,2.64,1.2,2.2,Sheltered
2024_PALM_OS3_1,29/10/2023,2023,2024,OS3,1,3,6.6,3.96,1.8,2.2,Sheltered
2024_PALM_OS3_2,29/10/2023,2023,2024,OS3,2,3,5.8,4.48,1.6,2.8,Sheltered
2024_PALM_OS3_3,29/10/2023,2023,2024,OS3,3,3,4.9,8.84,3.4,2.6,Sheltered
2024_PALM_OS3_4,29/10/2023,2023,2024,OS3,4,3,6.6,9.6,3.2,3,Sheltered
2024_PALM_OS3_5,29/10/2023,2023,2024,OS3,5,3,8.7,7.8,3,2.6,Sheltered
2024_PALM_C5_1,30/10/2023,2023,2024,C5,1,10,7.8,9.52,2.8,3.4,Semi-exposed
2024_PALM_C5_2,30/10/2023,2023,2024,C5,2,10,9.9,5.6,2,2.8,Semi-exposed
2024_PALM_C5_3,30/10/2023,2023,2024,C5,3,10,8.6,5.04,1.8,2.8,Semi-exposed
2024_PALM_C5_4,30/10/2023,2023,2024,C5,4,10,8,7.84,2.8,2.8,Semi-exposed
2024_PALM_C5_5,30/10/2023,2023,2024,C5,5,10,8.5,3.6,2,1.8,Semi-exposed
2024_PALM_C1_1,30/10/2023,2023,2024,C1,1,6,8.1,10.08,3.6,2.8,Sheltered
2024_PALM_C1_2,30/10/2023,2023,2024,C1,2,6,6.8,11.56,3.4,3.4,Sheltered
2024_PALM_C1_3,30/10/2023,2023,2024,C1,3,6,9.4,10.24,3.2,3.2,Sheltered
2024_PALM_C1_4,30/10/2023,2023,2024,C1,4,6,8.1,7.2,3,2.4,Sheltered
2024_PALM_C1_5,30/10/2023,2023,2024,C1,5,6,5.9,8.4,3,2.8,Sheltered
2024_PALM_C2_1,30/10/2023,2023,2024,C2,1,5,8,8.32,3.2,2.6,Sheltered
2024_PALM_C2_2,30/10/2023,2023,2024,C2,2,5,7.8,13.68,3.8,3.6,Sheltered
2024_PALM_C2_3,30/10/2023,2023,2024,C2,3,5,8.4,10.08,3.6,2.8,Sheltered
